"Country or Area","Year","Comm. Code","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Peru","1994","450190","Waste cork, crushed, granulated or ground","Import","757","33","Volume in litres","138"
"Peru","1994","450200","Natural cork, debacked, roughly squared, in blocks et","Import","1324","323","Volume in litres","1346"
"Peru","1994","450310","Corks and stoppers, natural cork","Import","83530","4445","Weight in kilograms","4445"
"Peru","1994","450390","Natural cork articles other than corks or stoppers","Import","34762","5076","Weight in kilograms","5076"
"Peru","1994","450410","Blocks, sheets, strip and tiles of agglomerated cork","Import","136815","56747","Weight in kilograms","56747"
"Peru","1994","450410","Blocks, sheets, strip and tiles of agglomerated cork","Export","6331","1220","Weight in kilograms","1220"
"Peru","1994","450490","Articles of agglomerated cork","Import","86525","9686","Weight in kilograms","9686"
"Peru","1994","450490","Articles of agglomerated cork","Export","52926","11359","Weight in kilograms","11359"
"Peru","1992","450110","Natural cork, raw or simply prepared","Import","7627","3054","Volume in litres","12726"
"Peru","1992","450190","Waste cork, crushed, granulated or ground","Import","2285","417","Volume in litres","1738"
"Peru","1992","450200","Natural cork, debacked, roughly squared, in blocks et","Import","3743","339","Volume in litres","1413"
"Peru","1992","450310","Corks and stoppers, natural cork","Import","130845","6257","Weight in kilograms","6257"
"Peru","1992","450390","Natural cork articles other than corks or stoppers","Import","14954","513","Weight in kilograms","513"
"Peru","1992","450390","Natural cork articles other than corks or stoppers","Export","13687","439","Weight in kilograms","439"
"Peru","1992","450410","Blocks, sheets, strip and tiles of agglomerated cork","Import","67269","33828","Weight in kilograms","33828"
"Peru","1992","450410","Blocks, sheets, strip and tiles of agglomerated cork","Export","57","17","Weight in kilograms","17"
"Peru","1992","450490","Articles of agglomerated cork","Import","103935","11940","Weight in kilograms","11940"
"Peru","1992","450490","Articles of agglomerated cork","Export","32974","6502","Weight in kilograms","6502"
"Philippines","2013","450190","Waste cork, crushed, granulated or ground","Import","36368","12517","Weight in kilograms","12517"
"Philippines","2013","450190","Waste cork, crushed, granulated or ground","Export","6467","37525","Weight in kilograms","37525"
"Philippines","2013","450200","Natural cork, debacked, roughly squared, in blocks et","Import","5747","11786","Weight in kilograms","11786"
"Philippines","2013","450200","Natural cork, debacked, roughly squared, in blocks et","Export","2200","320","Weight in kilograms","320"
"Philippines","2013","450310","Corks and stoppers, natural cork","Import","86830","29630","Weight in kilograms","29630"
"Philippines","2013","450390","Natural cork articles other than corks or stoppers","Import","37333","25778","Weight in kilograms","25778"
"Philippines","2013","450410","Blocks, sheets, strip and tiles of agglomerated cork","Import","130740","69560","Weight in kilograms","69560"
"Philippines","2013","450490","Articles of agglomerated cork","Import","204468","134132","Weight in kilograms","134132"
"Philippines","2012","450110","Natural cork, raw or simply prepared","Import","6784","13000","Weight in kilograms","13000"
"Philippines","2012","450190","Waste cork, crushed, granulated or ground","Import","188196","66379","Weight in kilograms","66379"
"Philippines","2012","450190","Waste cork, crushed, granulated or ground","Export","4368","18988","Weight in kilograms","18988"
"Philippines","2012","450200","Natural cork, debacked, roughly squared, in blocks et","Import","26902","25596","Weight in kilograms","25596"
"Philippines","2012","450310","Corks and stoppers, natural cork","Import","58819","30097","Weight in kilograms","30097"
"Philippines","2012","450390","Natural cork articles other than corks or stoppers","Import","34220","13152","Weight in kilograms","13152"
"Philippines","2012","450410","Blocks, sheets, strip and tiles of agglomerated cork","Import","73197","30022","Weight in kilograms","30022"
"Philippines","2012","450490","Articles of agglomerated cork","Import","223642","82892","Weight in kilograms","82892"
"Philippines","2011","450110","Natural cork, raw or simply prepared","Import","3588","1540","Weight in kilograms","1540"
"Philippines","2011","450190","Waste cork, crushed, granulated or ground","Import","330089","109674","Weight in kilograms","109674"
"Philippines","2011","450190","Waste cork, crushed, granulated or ground","Export","3669","468","Weight in kilograms","468"
"Philippines","2011","450200","Natural cork, debacked, roughly squared, in blocks et","Import","5919","2016","Weight in kilograms","2016"
"Philippines","2011","450310","Corks and stoppers, natural cork","Import","142804","211243","Weight in kilograms","211243"
"Philippines","2011","450390","Natural cork articles other than corks or stoppers","Import","12235","13244","Weight in kilograms","13244"
"Philippines","2011","450410","Blocks, sheets, strip and tiles of agglomerated cork","Import","170314","88457","Weight in kilograms","88457"
"Philippines","2011","450490","Articles of agglomerated cork","Import","4151682","12157865","Weight in kilograms","12157865"
"Philippines","2010","450110","Natural cork, raw or simply prepared","Import","3973","326","Weight in kilograms","326"
"Philippines","2010","450190","Waste cork, crushed, granulated or ground","Import","228091","340007","Weight in kilograms","340007"
"Philippines","2010","450190","Waste cork, crushed, granulated or ground","Export","129833","11936","Weight in kilograms","11936"
"Philippines","2010","450200","Natural cork, debacked, roughly squared, in blocks et","Import","1318","170","Weight in kilograms","170"
"Philippines","2010","450310","Corks and stoppers, natural cork","Import","67565","18174","Weight in kilograms","18174"
"Philippines","2010","450390","Natural cork articles other than corks or stoppers","Import","30959","37794","Weight in kilograms","37794"
"Philippines","2010","450410","Blocks, sheets, strip and tiles of agglomerated cork","Import","115158","51984","Weight in kilograms","51984"
"Philippines","2010","450490","Articles of agglomerated cork","Import","738770","1646465","Weight in kilograms","1646465"
"Philippines","2009","450110","Natural cork, raw or simply prepared","Import","54100","12003","Weight in kilograms","12003"
"Philippines","2009","450190","Waste cork, crushed, granulated or ground","Import","122925","25158","Weight in kilograms","25158"
"Philippines","2009","450190","Waste cork, crushed, granulated or ground","Export","72212","6060","Weight in kilograms","6060"
"Philippines","2009","450200","Natural cork, debacked, roughly squared, in blocks et","Import","2149","16544","Weight in kilograms","16544"
"Philippines","2009","450310","Corks and stoppers, natural cork","Import","24128","2507","Weight in kilograms","2507"
"Philippines","2009","450310","Corks and stoppers, natural cork","Export","13200","100","Weight in kilograms","100"
"Philippines","2009","450390","Natural cork articles other than corks or stoppers","Import","42019","42286","Weight in kilograms","42286"
"Philippines","2009","450410","Blocks, sheets, strip and tiles of agglomerated cork","Import","147460","81120","Weight in kilograms","81120"
"Philippines","2009","450490","Articles of agglomerated cork","Import","122021","124539","Weight in kilograms","124539"
"Philippines","2008","450110","Natural cork, raw or simply prepared","Import","228","85","Weight in kilograms","85"
"Philippines","2008","450190","Waste cork, crushed, granulated or ground","Import","216596","42114","Weight in kilograms","42114"
"Philippines","2008","450190","Waste cork, crushed, granulated or ground","Export","585487","46299","Weight in kilograms","46299"
"Philippines","2008","450200","Natural cork, debacked, roughly squared, in blocks et","Import","2619","545","Weight in kilograms","545"
"Philippines","2008","450310","Corks and stoppers, natural cork","Import","142277","15729","Weight in kilograms","15729"
"Philippines","2008","450390","Natural cork articles other than corks or stoppers","Import","26073","26074","Weight in kilograms","26074"
"Philippines","2008","450410","Blocks, sheets, strip and tiles of agglomerated cork","Import","241768","118259","Weight in kilograms","118259"
"Philippines","2008","450490","Articles of agglomerated cork","Import","113279","44382","Weight in kilograms","44382"
"Philippines","2007","450110","Natural cork, raw or simply prepared","Export","59","400","Weight in kilograms","400"
"Philippines","2007","450190","Waste cork, crushed, granulated or ground","Import","90610","18250","Weight in kilograms","18250"
"Philippines","2007","450190","Waste cork, crushed, granulated or ground","Export","16330","3152","Weight in kilograms","3152"
"Philippines","2007","450200","Natural cork, debacked, roughly squared, in blocks et","Import","1666","7494","Weight in kilograms","7494"
"Philippines","2007","450310","Corks and stoppers, natural cork","Import","184836","38732","Weight in kilograms","38732"
"Philippines","2007","450390","Natural cork articles other than corks or stoppers","Import","31701","22644","Weight in kilograms","22644"
"Philippines","2007","450410","Blocks, sheets, strip and tiles of agglomerated cork","Import","331889","195717","Weight in kilograms","195717"
"Philippines","2007","450490","Articles of agglomerated cork","Import","61311","129297","Weight in kilograms","129297"
"Philippines","2007","450490","Articles of agglomerated cork","Export","5013","666","Weight in kilograms","666"
"Philippines","2006","450190","Waste cork, crushed, granulated or ground","Import","415287","104117","Weight in kilograms","104117"
"Philippines","2006","450190","Waste cork, crushed, granulated or ground","Export","13564","2915","Weight in kilograms","2915"
"Philippines","2006","450200","Natural cork, debacked, roughly squared, in blocks et","Import","2578","200","Weight in kilograms","200"
"Philippines","2006","450310","Corks and stoppers, natural cork","Import","62235","11230","Weight in kilograms","11230"
"Philippines","2006","450390","Natural cork articles other than corks or stoppers","Import","17094","12991","Weight in kilograms","12991"
"Philippines","2006","450390","Natural cork articles other than corks or stoppers","Export","6544","2900","Weight in kilograms","2900"
"Philippines","2006","450410","Blocks, sheets, strip and tiles of agglomerated cork","Import","314481","171775","Weight in kilograms","171775"
"Philippines","2006","450490","Articles of agglomerated cork","Import","7541","3907","Weight in kilograms","3907"
"Philippines","2005","450110","Natural cork, raw or simply prepared","Import","58027","12248","Weight in kilograms","12248"
"Philippines","2005","450190","Waste cork, crushed, granulated or ground","Import","262045","65645","Weight in kilograms","65645"
"Philippines","2005","450190","Waste cork, crushed, granulated or ground","Export","26801","5580","Weight in kilograms","5580"
"Philippines","2005","450200","Natural cork, debacked, roughly squared, in blocks et","Export","288","40","Weight in kilograms","40"
"Philippines","2005","450310","Corks and stoppers, natural cork","Import","203625","36981","Weight in kilograms","36981"
"Philippines","2005","450390","Natural cork articles other than corks or stoppers","Import","51882","18163","Weight in kilograms","18163"
"Philippines","2005","450390","Natural cork articles other than corks or stoppers","Export","3984","571","Weight in kilograms","571"
"Philippines","2005","450410","Blocks, sheets, strip and tiles of agglomerated cork","Import","359586","170295","Weight in kilograms","170295"
"Philippines","2005","450490","Articles of agglomerated cork","Import","49654","18857","Weight in kilograms","18857"
"Philippines","2004","450190","Waste cork, crushed, granulated or ground","Import","246992","70650","Weight in kilograms","70650"
"Philippines","2004","450190","Waste cork, crushed, granulated or ground","Export","14580","8130","Weight in kilograms","8130"
"Philippines","2004","450310","Corks and stoppers, natural cork","Import","89145","13403","Weight in kilograms","13403"
"Philippines","2004","450390","Natural cork articles other than corks or stoppers","Import","237097","57462","Weight in kilograms","57462"
"Philippines","2004","450390","Natural cork articles other than corks or stoppers","Export","1730","30","Weight in kilograms","30"
"Philippines","2004","450410","Blocks, sheets, strip and tiles of agglomerated cork","Import","258581","138671","Weight in kilograms","138671"
"Philippines","2004","450490","Articles of agglomerated cork","Import","246039","74370","Weight in kilograms","74370"
"Philippines","2003","450110","Natural cork, raw or simply prepared","Import","27600","14400","Weight in kilograms","14400"
"Philippines","2003","450190","Waste cork, crushed, granulated or ground","Import","267037","79402","Weight in kilograms","79402"
"Philippines","2003","450190","Waste cork, crushed, granulated or ground","Export","29432","6216","Weight in kilograms","6216"
"Philippines","2003","450310","Corks and stoppers, natural cork","Import","144878","34476","Weight in kilograms","34476"
"Philippines","2003","450390","Natural cork articles other than corks or stoppers","Import","27420","5165","Weight in kilograms","5165"
"Philippines","2003","450390","Natural cork articles other than corks or stoppers","Export","30600","6256","Weight in kilograms","6256"
"Philippines","2003","450410","Blocks, sheets, strip and tiles of agglomerated cork","Import","282301","143106","Weight in kilograms","143106"
"Philippines","2003","450490","Articles of agglomerated cork","Import","33172","21657","Weight in kilograms","21657"
"Philippines","2002","450110","Natural cork, raw or simply prepared","Import","72910","18620","Weight in kilograms","18620"
"Philippines","2002","450190","Waste cork, crushed, granulated or ground","Import","205105","56086","Weight in kilograms","56086"
"Philippines","2002","450190","Waste cork, crushed, granulated or ground","Export","49538","12468","Weight in kilograms","12468"
"Philippines","2002","450310","Corks and stoppers, natural cork","Import","31311","8026","Weight in kilograms","8026"
"Philippines","2002","450390","Natural cork articles other than corks or stoppers","Import","41935","16892","Weight in kilograms","16892"
"Philippines","2002","450390","Natural cork articles other than corks or stoppers","Export","1638","386","Weight in kilograms","386"
"Philippines","2002","450410","Blocks, sheets, strip and tiles of agglomerated cork","Import","291097","147005","Weight in kilograms","147005"
"Philippines","2002","450490","Articles of agglomerated cork","Import","45106","61063","Weight in kilograms","61063"
"Philippines","2001","450190","Waste cork, crushed, granulated or ground","Import","35453","19420","Weight in kilograms","19420"
"Philippines","2001","450190","Waste cork, crushed, granulated or ground","Export","2576","630","Weight in kilograms","630"
"Philippines","2001","450310","Corks and stoppers, natural cork","Import","160170","21676","Weight in kilograms","21676"
"Philippines","2001","450390","Natural cork articles other than corks or stoppers","Import","39196","13935","Weight in kilograms","13935"
"Philippines","2001","450410","Blocks, sheets, strip and tiles of agglomerated cork","Import","396604","199450","Weight in kilograms","199450"
"Philippines","2001","450490","Articles of agglomerated cork","Import","8172","6612","Weight in kilograms","6612"
"Philippines","2000","450110","Natural cork, raw or simply prepared","Import","5151","5521","Weight in kilograms","5521"
"Philippines","2000","450190","Waste cork, crushed, granulated or ground","Import","45342","16547","Weight in kilograms","16547"
"Philippines","2000","450190","Waste cork, crushed, granulated or ground","Export","35229","7647","Weight in kilograms","7647"
"Philippines","2000","450310","Corks and stoppers, natural cork","Import","88686","18485","Weight in kilograms","18485"
"Philippines","2000","450310","Corks and stoppers, natural cork","Export","4400","597","Weight in kilograms","597"
"Philippines","2000","450390","Natural cork articles other than corks or stoppers","Import","83869","19091","Weight in kilograms","19091"
"Philippines","2000","450390","Natural cork articles other than corks or stoppers","Export","2087","416","Weight in kilograms","416"
"Philippines","2000","450410","Blocks, sheets, strip and tiles of agglomerated cork","Import","379176","185553","Weight in kilograms","185553"
"Philippines","2000","450490","Articles of agglomerated cork","Import","36650","10296","Weight in kilograms","10296"
"Philippines","1999","450190","Waste cork, crushed, granulated or ground","Import","81662","30929","Volume in litres","128881"
"Philippines","1999","450310","Corks and stoppers, natural cork","Import","99926","33502","Weight in kilograms","33502"
"Philippines","1999","450390","Natural cork articles other than corks or stoppers","Import","50417","9689","Weight in kilograms","9689"
"Philippines","1999","450410","Blocks, sheets, strip and tiles of agglomerated cork","Import","347381","171150","Weight in kilograms","171150"
"Philippines","1999","450490","Articles of agglomerated cork","Import","7801","2471","Weight in kilograms","2471"
"Philippines","1998","450190","Waste cork, crushed, granulated or ground","Import","20896","8389","Volume in litres","34957"
"Philippines","1998","450310","Corks and stoppers, natural cork","Import","132365","20053","Weight in kilograms","20053"
"Philippines","1998","450310","Corks and stoppers, natural cork","Export","3545","1663","Weight in kilograms","1663"
"Philippines","1998","450390","Natural cork articles other than corks or stoppers","Import","9062","4487","Weight in kilograms","4487"
"Philippines","1998","450390","Natural cork articles other than corks or stoppers","Export","16983","296","Weight in kilograms","296"
"Philippines","1998","450410","Blocks, sheets, strip and tiles of agglomerated cork","Import","425794","202768","Weight in kilograms","202768"
"Philippines","1998","450490","Articles of agglomerated cork","Import","35078","10314","Weight in kilograms","10314"
"Philippines","1998","450490","Articles of agglomerated cork","Export","182","39","Weight in kilograms","39"
"Philippines","1997","450110","Natural cork, raw or simply prepared","Export","125","66","Volume in litres","275"
"Philippines","1997","450190","Waste cork, crushed, granulated or ground","Import","10941","3125","Volume in litres","13022"
