year,COUNTRY,I_1,I_2,I_3,I_4,I_5,I_6,I_7,I_8,I_9,I_10,I_11,I_12,IYR,E_1,E_2,E_3,E_4,E_5,E_6,E_7,E_8,E_9,E_10,E_11,E_12,EYR
2003,Hong Kong,821.950431,563.726776,562.702094,624.519769,625.763023,691.608729,871.23687,839.217305,919.536025,957.802129,695.501267,677.577141,8851.141559,946.864029,953.885268,1183.425062,1060.746519,1063.169888,1078.354222,1074.450961,1146.784892,1217.527145,1287.519446,1189.436564,1318.298416,13520.46241
2004,Hong Kong,805.82858,531.396516,692.419517,655.542497,616.384781,780.15334,887.813148,895.490006,956.887774,962.999035,828.502271,700.480179,9313.897644,1072.414616,1258.768712,1384.796128,1267.370438,1263.421978,1331.429912,1337.468824,1338.802028,1430.506278,1402.641452,1300.195547,1439.53454,15827.35045
2001,Italy,2083.7,1946.4,2172.9,1928,2044,1981.2,2253,2105,1448.3,2133.2,1857.4,1836.6,23789.7,918.2,889.1,967.6,791.7,841.4,807.7,719.8,735.4,723.9,960.8,769.9,790.3,9915.8
2002,Italy,1730,1713.6,1938.8,1975.3,2052.4,2006.5,2421.3,2154.4,1737.2,2162.7,2033.2,2295.1,24220.5,713.6,796.9,884.8,824.2,932.6,775.2,835.8,822.7,679.2,977.3,913.7,900.7,10056.7
2003,Italy,2002.99333,1808.050946,2291.003418,2118.195335,2054.419089,2108.612476,2487.164382,2169.059719,1779.414225,2104.764015,2157.000962,2333.555635,25414.23353,956.283935,752.139327,848.91825,786.530748,1070.864075,866.390464,745.75597,735.729417,748.385668,1109.888738,961.13271,978.552842,10560.57214
2004,Italy,2002.786447,2092.241125,2484.441277,2294.911387,2181.100056,2558.536113,2547.042041,2441.898575,2166.832205,2291.492428,2379.82622,2656.167117,28097.27499,761.299965,773.215255,954.169391,1006.598491,1037.332734,869.722693,781.495951,734.120557,869.137939,962.453373,962.155412,973.037764,10684.73953
2001,Malaysia,1869.2,1746.4,1931.7,1735.6,1704.2,2065.9,1848.7,1894.5,1771.3,2118.4,1940.7,1713.7,22340.3,899.3,778.1,1011.3,886.7,678.7,681.9,688.6,700.4,677.9,715.1,719.5,920.2,9357.7
2002,Malaysia,1774.6,1747.6,1941.8,1901.4,2035.8,2098.1,2182.2,2307.3,2032.1,2066.6,2009.3,1912.1,24008.9,726.2,688.1,1252.9,960,855.7,1002.5,828.1,907.4,798,874.1,723,727.6,10343.6
2003,Malaysia,1890.837042,1650.759221,1936.066782,2041.1977,1990.198282,2168.694392,2330.571847,2223.27333,2297.243599,2435.162254,2227.665381,2248.533029,25440.20286,719.432737,689.279124,848.093179,917.353423,983.102449,896.277945,975.849664,912.827126,970.392615,997.977556,945.82067,1057.655223,10914.06171
2004,Malaysia,2111.647202,1893.571885,2223.75781,2277.248756,2133.20956,2386.795436,2393.260306,2585.914494,2612.049205,2685.355758,2391.045782,2485.009981,28178.86618,928.75111,907.69565,1019.803103,917.943986,920.437591,810.92503,854.987178,845.764439,872.138546,898.075957,878.825825,994.828497,10850.17691
