"Country or Area","Year","Comm. Code","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Algeria","2005","970500","Collections and collectors pieces","Import","41","2","Weight in kilograms","2"
"Algeria","2004","970110","Paintings/drawings/pastels executed by hand","Import","232754","2460","Number of items","2566"
"Algeria","2004","970190","Collages, similar decorative plaques","Import","66270","2315","Weight in kilograms","2315"
"Algeria","2004","970190","Collages, similar decorative plaques","Export","2995","200","Weight in kilograms","200"
"Algeria","2004","970500","Collections and collectors pieces","Import","2343","12","Weight in kilograms","12"
"Algeria","2003","970110","Paintings/drawings/pastels executed by hand","Import","57253","2950","No Quantity",""
"Algeria","2003","970110","Paintings/drawings/pastels executed by hand","Export","2560","367","No Quantity",""
"Algeria","2003","970190","Collages, similar decorative plaques","Import","16835","1570","Weight in kilograms","1570"
"Algeria","2003","970190","Collages, similar decorative plaques","Export","2398","281","Weight in kilograms","281"
"Algeria","2003","970300","Original sculptures and statuary, in any material","Import","84","40","No Quantity",""
"Algeria","2003","970500","Collections and collectors pieces","Import","13","0","Weight in kilograms","0"
"Algeria","2003","970600","Antiques older than one hundred years","Import","451","1003","Weight in kilograms","1003"
"Algeria","2002","970110","Paintings/drawings/pastels executed by hand","Import","28476","5852","No Quantity",""
"Algeria","2002","970110","Paintings/drawings/pastels executed by hand","Export","272","52","No Quantity",""
"Algeria","2002","970190","Collages, similar decorative plaques","Import","34878","293","Weight in kilograms","293"
"Algeria","2002","970190","Collages, similar decorative plaques","Export","818","100","Weight in kilograms","100"
"Algeria","2002","970200","Original engravings, prints and lithographs","Import","3568","6460","No Quantity",""
"Algeria","2002","970300","Original sculptures and statuary, in any material","Export","8","0","No Quantity",""
"Algeria","2002","970400","Used postage and revenue stamps, first day covers, et","Import","90","220","Weight in kilograms","220"
"Algeria","2002","970600","Antiques older than one hundred years","Import","729","1403","Weight in kilograms","1403"
"Algeria","2001","970110","Paintings/drawings/pastels executed by hand","Import","8743","4365","No Quantity",""
"Algeria","2001","970110","Paintings/drawings/pastels executed by hand","Export","1224","137","No Quantity",""
"Algeria","2001","970190","Collages, similar decorative plaques","Import","22","5","Weight in kilograms","5"
"Algeria","2001","970190","Collages, similar decorative plaques","Export","197","130","Weight in kilograms","130"
"Algeria","2001","970200","Original engravings, prints and lithographs","Import","24582","3366","No Quantity",""
"Algeria","2001","970600","Antiques older than one hundred years","Import","506","1564","Weight in kilograms","1564"
"Algeria","2000","970110","Paintings/drawings/pastels executed by hand","Import","1884082","140","No Quantity",""
"Algeria","2000","970110","Paintings/drawings/pastels executed by hand","Export","1475","78","No Quantity",""
"Algeria","2000","970190","Collages, similar decorative plaques","Import","16411","645","Weight in kilograms","645"
"Algeria","2000","970190","Collages, similar decorative plaques","Export","4772","162","Weight in kilograms","162"
"Algeria","2000","970200","Original engravings, prints and lithographs","Import","5000","46","No Quantity",""
"Algeria","2000","970300","Original sculptures and statuary, in any material","Import","222","172","No Quantity",""
"Algeria","2000","970300","Original sculptures and statuary, in any material","Export","2791","2300","No Quantity",""
"Algeria","1999","970110","Paintings/drawings/pastels executed by hand","Import","189552","0","No Quantity","0"
"Algeria","1999","970110","Paintings/drawings/pastels executed by hand","Export","406","0","No Quantity","0"
"Algeria","1999","970190","Collages, similar decorative plaques","Import","105","0","No Quantity","0"
"Algeria","1999","970200","Original engravings, prints and lithographs","Import","155","0","No Quantity","0"
"Algeria","1999","970500","Collections and collectors pieces","Export","15","0","No Quantity","0"
"Algeria","1999","970600","Antiques older than one hundred years","Import","397948","0","No Quantity","0"
"Algeria","1998","970110","Paintings/drawings/pastels executed by hand","Export","303","0","No Quantity","0"
"Algeria","1998","970190","Collages, similar decorative plaques","Import","2674","0","No Quantity","0"
"Algeria","1998","970190","Collages, similar decorative plaques","Export","22","0","No Quantity","0"
"Algeria","1998","970300","Original sculptures and statuary, in any material","Import","2899","0","No Quantity","0"
"Algeria","1998","970500","Collections and collectors pieces","Export","20","0","No Quantity","0"
"Algeria","1997","970110","Paintings/drawings/pastels executed by hand","Import","134502","0","No Quantity","0"
"Algeria","1997","970110","Paintings/drawings/pastels executed by hand","Export","333","0","No Quantity","0"
"Algeria","1997","970190","Collages, similar decorative plaques","Import","115","0","No Quantity","0"
"Algeria","1997","970500","Collections and collectors pieces","Export","52","0","No Quantity","0"
"Algeria","1996","970110","Paintings/drawings/pastels executed by hand","Import","2522","0","No Quantity","0"
