year,COUNTRY,I_1,IYR,E_1,E_2,E_3,E_4,E_5,E_6,E_7,E_8,E_9,E_10,E_11,E_12,EYR
2001,India,888.6,9737.3,277.3,351.5,303.7,277.5,351.5,343.6,278.7,340.8,300.3,290.8,304.3,337,3757
2002,India,960.3,11818.4,282.7,265,380.3,309,314.7,343.7,289.1,381.7,341.2,367.3,410.2,416.1,4101
2003,India,1158.38374,13055.29063,424.760757,388.325962,374.661553,330.933091,419.644834,391.82846,459.037954,394.711553,428.532447,493.229991,402.120706,471.905812,4979.69312
2004,India,1181.200818,15572.03644,341.530573,389.430644,468.109897,438.636363,453.861234,533.787894,585.626571,579.973319,584.545644,604.867486,558.294784,570.692616,6109.357025
2001,Thailand,1360.4,14727,593.3,589.1,577.9,450.9,662.1,646.1,376.4,405.1,362.5,452.5,433.8,439.7,5989.4
2002,Thailand,1092,14792.9,382,391.1,457.4,383.4,391,406.4,344.1,393.7,373.1,454.8,466.7,416.5,4860.2
2003,Thailand,1195.973135,15178.49236,407.378706,540.935052,496.716991,404.314721,389.264027,426.787786,395.065202,441.228204,397.996614,728.204167,717.211275,490.210194,5835.312939
2004,Thailand,1257.06312,17578.94467,490.022058,528.607303,528.318527,476.029494,523.799623,501.71975,486.559385,543.176837,567.953335,571.711011,568.092867,582.446349,6368.436539
2001,Saudi Arabia,1304.7,13272.2,482.9,382,874.2,595.2,465.3,395.5,526.5,406.1,520.5,397.9,480.9,430.6,5957.6
2002,Saudi Arabia,803.3,13149.9,289.3,321.8,376.6,367.6,472.4,396.3,413.3,403.5,418.7,484.4,412.3,424.6,4780.8
2003,Saudi Arabia,1615.888089,18068.61459,335.717002,369.668343,408.696708,378.245931,360.437716,441.776369,348.305212,339.983159,458.620866,358.110225,352.427055,443.760556,4595.749142
2004,Saudi Arabia,1447.976827,20958.67662,378.143604,317.294163,492.320023,383.36011,441.799179,442.089049,424.029646,417.499391,424.839995,459.597547,472.686845,603.088588,5256.74814
2001,Brazil,1360,14466.3,1265.3,1169,1412.3,1294.8,1485.9,1514.4,1433.7,1476.2,1249.4,1134.4,1344.4,1099.6,15879.4
