Cabo Verde,72940489,82283760,93068154,114858038,115073243,133965089,125011788,117274629,134990314,144731387,161773304,158624654,159960736,157522184,150187214,156686956,216903876,268566058,301777222,305200222,350331309,365187548,407653448,411173996,465191131,557952258,574163582,561063577,597833503,678757453,613243043,640306700,706211580,925691105,1051192733,1105391542,1259961305,1513934038,1789332788,1711816593,1664310632,1907160726,1903362974
Cayman Islands,23681075,29652870,39433289,51455052,60082699,71677034,85508738,102009609,121694694,145178447,173193889,206615689,246486832,343583541,384561395,416082822,457060674,534288168,652493515,747058688,929885410,970863411,1029178258,1105617992,1200340217,1296323304,1406491084,1531787364,2009813346,2179011160,2277360663,2336291791,2436605664,2526835767,2661722570,3041762860,3207031931,3516025062,3547699383,3337106296,3249044691,3328922025,3393308433
Central African Republic,263755237,280972338,321234534,378231035,392479217,528133866,629242284,707551157,851601013,977387576,1111678361,993156218,933856475,821957782,787275127,864849837,1122265015,1200991976,1264899288,1233930279,1440711459,1377374988,1411917554,1278781259,851174357,1115389674,1007791127,937741512,967338390,999477459,914500332,931833294,991387865,1139754772,1270080228,1350300947,1473721521,1698125680,1985370255,1981728179,1986014759,2212697561,2184181646
Chad,474881353,518297768,538650668,597355950,695948298,1005454251,944029887,954951673,1154526522,1339649713,1146375969,910586414,822119652,815711264,878938614,867643573,1068047973,1212582442,1416655977,1338864366,1612106731,1600107974,1666983677,1454217182,1179740664,1444714303,1615274739,1542775803,1757748413,1528782584,1385361147,1709737561,1987328738,2722679751,4414873600,5873375706,6299827214,7008151378,8353964907,7579542997,8919168927,10450288473,10183371059
Chile,9558915352,11442787657,12354159231,17611315796,17069025141,7940661322,10842862040,14698714972,16940325374,22805922013,30336422015,36374164174,25989801471,21440416445,21253442921,18747019619,20153151943,23532946768,27466063015,31324778805,34481449508,39402664249,47626159791,50573660889,57903019307,74159566083,77972157008,85219197255,81681340401,75117668402,77382810228,70561680138,69221066628,76140677016,99333268798,123056032393,154671011520,173081288267,179626662230,171956957294,217556231204,251190532226,268313655599
China,91038752103,98058520044,111588913149,136070616421,141528572059,160339801988,150853675185,171467025425,214160133175,263189710780,306520288512,293851689756,295369983178,314636769844,317352059108,309082602400,304347931029,329851427957,413438650224,459782255048,404494194099,424116830279,499859312642,641068502462,582653432666,756960196374,892013940048,985045909741,1045199124286,1100776130221,1192836266214,1317229512376,1455554350858,1650510992058,1944671658061,2287237699300,2793180190144,3504410924304,4547277134928,5105458331875,5949785721835,7314444459460,8358399572299
China: Hong Kong SAR,3812493809,4461399453,5710090551,8030117556,9388694745,10048090237,12876497273,15719433720,18315137713,22526186035,28861855877,31055224237,32291217617,29907228557,33511383986,35699772166,41075395130,50622896163,59707404561,68790222118,76928784621,88960001716,104272503149,120354207289,135811776884,144652289131,159718180109,177353167214,168885436392,165768095392,171668898539,169404327617,166348873241,161385558802,169099768875,181569303960,193535434591,211596953545,219278739753,214047795659,228696728521,248725976362,263258807224
China: Macao SAR,164792552,197053114,241051725,328445970,377434253,436347591,433459821,553672038,723342934,822454505,981514688,1036092157,1096734306,1086179391,1257211447,1297298463,1454715920,1883370784,2215459600,2632682617,3174205268,3684540213,4843860514,5564594260,6208551999,6955018047,7068617945,7092277419,6587590438,6290436632,6432923410,6514221697,7008087036,7926329439,10258320241,11792565023,14568652834,18054708498,20731012633,21313246649,28359766981,36796998498,43582221398
Colombia,10192830297,11062473570,12281981758,14530859324,17461831599,18508321610,21673810438,27519401796,32864249578,39496777220,47204011075,51437351221,55073305988,54742008225,54074423925,49322295862,49389241417,51408904637,55422805035,55888331643,56924873582,58290710046,62389828110,72212650814,95308779557,110292390858,115830061209,127185005957,117458362827,102898121201,99875768145,98211751482,97963002599,94641380064,117081522238,146566266311,162590145580,207416490983,243982436734,233821670220,287018179194,336346368933,369812739540
Comoros,19623677,21702947,25572810,34129357,38566259,59875578,59029464,65301027,84682764,113195835,123505661,114271876,107089563,111519674,107489832,114490709,162487778,196433671,207476559,198733191,243772112,245469305,266191083,263568133,185761813,231896234,230495757,212106494,215394049,222580462,201899884,220115655,251162421,324470869,362420484,387036132,403179474,464948879,523134878,524157264,530493418,630405697,615846176
