"Country or Area","Year","Comm. Code","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Italy","1997","460191","Plaited vegetable material articles not mats or scree","Import","2058135","745922","Weight in kilograms","745922"
"Italy","1997","460191","Plaited vegetable material articles not mats or scree","Export","459074","74552","Weight in kilograms","74552"
"Italy","1997","460199","Products of non-vegetable plaiting materials","Import","1015901","614615","Weight in kilograms","614615"
"Italy","1997","460199","Products of non-vegetable plaiting materials","Export","150388","32594","Weight in kilograms","32594"
"Italy","1997","460210","Basketwork, wickerwork products of vegetable material","Import","36225396","11181703","Weight in kilograms","11181703"
"Italy","1997","460210","Basketwork, wickerwork products of vegetable material","Export","4212599","513927","Weight in kilograms","513927"
"Italy","1997","460290","Basketwork and wickerwork products, non-vegetable","Import","2346227","533981","Weight in kilograms","533981"
"Italy","1997","460290","Basketwork and wickerwork products, non-vegetable","Export","2105133","215451","Weight in kilograms","215451"
"Italy","1996","460110","Plaits and products of plaiting materials","Import","832703","151272","Weight in kilograms","151272"
"Italy","1996","460110","Plaits and products of plaiting materials","Export","858459","46407","Weight in kilograms","46407"
"Italy","1996","460120","Mats, matting and screens, vegetable plaiting materia","Import","5304200","4114589","Weight in kilograms","4114589"
"Italy","1996","460120","Mats, matting and screens, vegetable plaiting materia","Export","346042","145379","Weight in kilograms","145379"
"Italy","1996","460191","Plaited vegetable material articles not mats or scree","Import","2379831","810949","Weight in kilograms","810949"
"Italy","1996","460191","Plaited vegetable material articles not mats or scree","Export","214726","79235","Weight in kilograms","79235"
"Italy","1996","460199","Products of non-vegetable plaiting materials","Import","868339","466115","Weight in kilograms","466115"
"Italy","1996","460199","Products of non-vegetable plaiting materials","Export","349345","61562","Weight in kilograms","61562"
"Italy","1996","460210","Basketwork, wickerwork products of vegetable material","Import","43337276","12409861","Weight in kilograms","12409861"
"Italy","1996","460210","Basketwork, wickerwork products of vegetable material","Export","5310416","539458","Weight in kilograms","539458"
"Italy","1996","460290","Basketwork and wickerwork products, non-vegetable","Import","3436854","700624","Weight in kilograms","700624"
"Italy","1996","460290","Basketwork and wickerwork products, non-vegetable","Export","4203246","373328","Weight in kilograms","373328"
"Italy","1995","460110","Plaits and products of plaiting materials","Import","986856","236202","Weight in kilograms","236202"
"Italy","1995","460110","Plaits and products of plaiting materials","Export","1176482","74639","Weight in kilograms","74639"
"Italy","1995","460120","Mats, matting and screens, vegetable plaiting materia","Import","5812677","5587919","Weight in kilograms","5587919"
"Italy","1995","460120","Mats, matting and screens, vegetable plaiting materia","Export","711936","212369","Weight in kilograms","212369"
"Italy","1995","460191","Plaited vegetable material articles not mats or scree","Import","1787225","697949","Weight in kilograms","697949"
"Italy","1995","460191","Plaited vegetable material articles not mats or scree","Export","210801","80957","Weight in kilograms","80957"
"Italy","1995","460199","Products of non-vegetable plaiting materials","Import","867262","397335","Weight in kilograms","397335"
"Italy","1995","460199","Products of non-vegetable plaiting materials","Export","237850","65975","Weight in kilograms","65975"
"Italy","1995","460210","Basketwork, wickerwork products of vegetable material","Import","39964040","12534889","Weight in kilograms","12534889"
"Italy","1995","460210","Basketwork, wickerwork products of vegetable material","Export","5357819","490003","Weight in kilograms","490003"
"Italy","1995","460290","Basketwork and wickerwork products, non-vegetable","Import","4630378","1166201","Weight in kilograms","1166201"
"Italy","1995","460290","Basketwork and wickerwork products, non-vegetable","Export","4847823","430706","Weight in kilograms","430706"
"Italy","1994","460110","Plaits and products of plaiting materials","Import","1278841","291779","Weight in kilograms","291779"
"Italy","1994","460110","Plaits and products of plaiting materials","Export","1905833","102079","Weight in kilograms","102079"
"Italy","1994","460120","Mats, matting and screens, vegetable plaiting materia","Import","5655027","5663782","Weight in kilograms","5663782"
"Italy","1994","460120","Mats, matting and screens, vegetable plaiting materia","Export","423705","70637","Weight in kilograms","70637"
"Italy","1994","460191","Plaited vegetable material articles not mats or scree","Import","3033628","1534965","Weight in kilograms","1534965"
"Italy","1994","460191","Plaited vegetable material articles not mats or scree","Export","231047","13047","Weight in kilograms","13047"
"Italy","1994","460199","Products of non-vegetable plaiting materials","Import","1034194","736159","Weight in kilograms","736159"
"Italy","1994","460199","Products of non-vegetable plaiting materials","Export","124638","30218","Weight in kilograms","30218"
"Italy","1994","460210","Basketwork, wickerwork products of vegetable material","Import","32852840","9776888","Weight in kilograms","9776888"
"Italy","1994","460210","Basketwork, wickerwork products of vegetable material","Export","3726609","373210","Weight in kilograms","373210"
"Italy","1994","460290","Basketwork and wickerwork products, non-vegetable","Import","7513866","1973546","Weight in kilograms","1973546"
"Italy","1994","460290","Basketwork and wickerwork products, non-vegetable","Export","4239867","328627","Weight in kilograms","328627"
"Jamaica","2013","460120","Mats, matting and screens, vegetable plaiting materia","Import","54390","7218","Weight in kilograms","7218"
"Jamaica","2013","460120","Mats, matting and screens, vegetable plaiting materia","Export","294","18","Weight in kilograms","18"
"Jamaica","2013","460191","Plaited vegetable material articles not mats or scree","Import","6235","248","Weight in kilograms","248"
"Jamaica","2013","460199","Products of non-vegetable plaiting materials","Import","10835","854","Weight in kilograms","854"
"Jamaica","2013","460210","Basketwork, wickerwork products of vegetable material","Import","129601","20867","Weight in kilograms","20867"
"Jamaica","2013","460210","Basketwork, wickerwork products of vegetable material","Export","2356","91","Weight in kilograms","91"
"Jamaica","2013","460210","Basketwork, wickerwork products of vegetable material","Re-Export","203","11","Weight in kilograms","11"
"Jamaica","2013","460290","Basketwork and wickerwork products, non-vegetable","Import","78800","11421","Weight in kilograms","11421"
"Jamaica","2013","460290","Basketwork and wickerwork products, non-vegetable","Export","2877","66","Weight in kilograms","66"
"Jamaica","2012","460120","Mats, matting and screens, vegetable plaiting materia","Import","52902","4848","Weight in kilograms","4848"
"Jamaica","2012","460120","Mats, matting and screens, vegetable plaiting materia","Export","107","17","Weight in kilograms","17"
"Jamaica","2012","460191","Plaited vegetable material articles not mats or scree","Import","26252","2534","Weight in kilograms","2534"
"Jamaica","2012","460199","Products of non-vegetable plaiting materials","Import","4651","391","Weight in kilograms","391"
"Jamaica","2012","460210","Basketwork, wickerwork products of vegetable material","Import","159360","26648","Weight in kilograms","26648"
"Jamaica","2012","460210","Basketwork, wickerwork products of vegetable material","Export","1255","57","Weight in kilograms","57"
"Jamaica","2012","460290","Basketwork and wickerwork products, non-vegetable","Import","80711","11226","Weight in kilograms","11226"
"Jamaica","2012","460290","Basketwork and wickerwork products, non-vegetable","Export","1698","173","Weight in kilograms","173"
"Jamaica","2011","460120","Mats, matting and screens, vegetable plaiting materia","Import","19205","3286","Weight in kilograms","3286"
"Jamaica","2011","460120","Mats, matting and screens, vegetable plaiting materia","Export","3558","120","Weight in kilograms","120"
"Jamaica","2011","460191","Plaited vegetable material articles not mats or scree","Import","4732","384","Weight in kilograms","384"
"Jamaica","2011","460191","Plaited vegetable material articles not mats or scree","Export","4205","474","Weight in kilograms","474"
"Jamaica","2011","460191","Plaited vegetable material articles not mats or scree","Re-Export","2989","400","Weight in kilograms","400"
"Jamaica","2011","460199","Products of non-vegetable plaiting materials","Import","1286","50","Weight in kilograms","50"
"Jamaica","2011","460199","Products of non-vegetable plaiting materials","Export","1","4","Weight in kilograms","4"
"Jamaica","2011","460199","Products of non-vegetable plaiting materials","Re-Export","1","4","Weight in kilograms","4"
"Jamaica","2011","460210","Basketwork, wickerwork products of vegetable material","Import","169489","36514","Weight in kilograms","36514"
